;Asset;AVG(allocation);AVG(allocation)__contribution
0;ETH;4709,021458;0,440882516
1;BTC;1358,809709;0,127218669
2;LINK;993,7670407;0,09304152
3;SOL;760,3963197;0,071192167
4;TRX;637,9132877;0,059724683
5;AAVE;601,6817457;0,056332502
6;ENA;561,8701017;0,052605134
7;LDO;452,1501378;0,042332593
8;RENDER;370,09536;0,034650208
9;ARB;185,5844936;0,017375363
10;USDT;48,64763359;0,004554639
11;PENDLE;0,212192;1,98665E-05
12;USDC;0,193494459;1,81159E-05
13;AVAX;0,1888272;1,7679E-05
14;STX;0,156024;1,46078E-05
15;JTO;0,08875;8,30923E-06
16;POL;0,0650573;6,09099E-06
17;SEI;0,03449;3,22913E-06
18;DYM;0,019968;1,86951E-06
19;TIA;0,001841;1,72364E-07
20;BNB;0,000695255;6,50933E-08
