Asset;Value
ETH;0.440882515851465
BTC;0.127218669197366
LINK;0.0930415197636256
SOL;0.0711921670874908
TRX;0.0597246832832681
AAVE;0.0563325022276112
ENA;0.052605133832198
LDO;0.042332593310622
RENDER;0.034650208088619
ARB;0.017375363256455
USDT;0.00455463863938308
PENDLE;0.0000198664932052654
USDC;0.0000181159344130787
AVAX;0.0000176789619107661
STX;0.0000146077596509686
JTO;8.30922594615868E-06
POL;6.09099498757216E-06
SEI;3.22912904656916E-06
DYM;1.86950561907489E-06
TIA;1.72363774274683E-07
BNB;6.5093343198726E-08
