Asset;Beta_365d;Sharpe;;;;;;;;;;;;;;;;;;;;
AAVE;1.48598703;2.225321298;;;;;;;;;;;;;;;;;;;;
ARB;1.487099899;0.825205969;;;;;;;;;;;;;;;;;;;;
AVAX;0.634710052;1.542872121;;;;;;;;;;;;;;;;;;;;
BNB;1;2.268666504;;;;;;;;;;;;;;;;;;;;
BTC;1.445981643;0.339353699;;;;;;;;;;;;;;;;;;;;
DYM;1.646096732;-0.765860229;;;;;;;;;;;;;;;;;;;;
ENA;1.246008889;1.448051721;;;;;;;;;;;;;;;;;;;;
ETH;1.636656664;-0.28877911;;;;;;;;;;;;;;;;;;;;
JTO;1.697180925;1.272464221;;;;;;;;;;;;;;;;;;;;
LDO;1.47254542;1.186619661;;;;;;;;;;;;;;;;;;;;
LINK;1.682034236;1.674609514;;;;;;;;;;;;;;;;;;;;
PENDLE;1.453572943;1.979630933;;;;;;;;;;;;;;;;;;;;
POL;-0.081000501;-0.220576823;;;;;;;;;;;;;;;;;;;;
RENDER;1.514343459;0.560980871;;;;;;;;;;;;;;;;;;;;
SEI;1.395181354;1.021618593;;;;;;;;;;;;;;;;;;;;
SOL;1.422980426;-0.116984197;;;;;;;;;;;;;;;;;;;;
STX;1.514343459;0.661566739;;;;;;;;;;;;;;;;;;;;
TIA;0.357216461;2.42320405;;;;;;;;;;;;;;;;;;;;
TRX;-0.008023842;-0.046857275;;;;;;;;;;;;;;;;;;;;
USDC;0;0;;;;;;;;;;;;;;;;;;;;
USDT;0;0;;;;;;;;;;;;;;;;;;;;
